name,org,category,linkedin_url,notes
Nathan Benaich,Air Street Capital (Founder),AI VC,https://www.linkedin.com/in/nathanbenaich/,专注硬核 AI 趋势与研究回复
Azeem Azhar,Exponential View (Author),Tech Policy / AI,https://www.linkedin.com/in/azhar/,政策影响力大，常与 VC/Founder 互动
Lenny Rachitsky,Lenny's Newsletter (Writer),Product / Growth,https://www.linkedin.com/in/lennyrachitsky/,增长圈核心，AI Founder 必读
Swyx (Shawn Wang),Latent Space (AI Engineer),Developer Community,https://www.linkedin.com/in/swyx/,AI 工程社区核心，对 Builder 友好
Alessio Fanelli,Decibel VC (Partner),AI Infra / Startup,https://www.linkedin.com/in/alessiofanelli/,专注基础架构，乐于与早期 Founder 交流
Casey Newton,Platformer (Founder),Tech Journalism,https://www.linkedin.com/in/caseynewton/,AI/Tech 政策领域最重要记者之一
Kylie Robison,The Verge (Reporter),Tech Journalism,https://www.linkedin.com/in/kylierobison/,覆盖大量 AI Startup 相关报道
Hayden Field,The Verge (Reporter),Tech Journalism,https://www.linkedin.com/in/hayden-field/,专注 OpenAI/Anthropic 等头部报道
Natasha Mascarenhas,TechCrunch (Reporter),Tech Journalism,https://www.linkedin.com/in/natashamascarenhas/,专注 VC/Startup，对创始人持开放态度
Josh Machiz,Lightspeed (Marketing Partner),VC Marketing,https://www.linkedin.com/in/joshmachiz/,擅长 Startup 叙事与品牌构建
